label,tweet
fear,iya sih cuma takut suara dia jadi rusak atau berubah begitu karena salah teknik
sadness,bapak kos melihat sinema elektronik di ruang tengah bule datang terus bilang menangis terus kenapa indonesia membuat film menangis terus mengapa kira kira
sadness,oh iya ibunya melahirkan anak ketiga yaitu cewek tapi tidak tahu tahun berapa berapa nya lanjut yang tadi baru saja setahun diberi kenikmatan datang lagi ujian buat sih makmak kali ini mungkin berat dia ditinggal suaminya meninggal seketika ibu itu jadi single parent
happy,dulu main telegram niatnya melacak akun akun pro terorisme lalu coba coba bikin channel dan kini sudah ada subscribers yang mau gabung ayo kita berteman di sini
anger,buka rekening baru di mandiri ribet harus ada nomor telepon rumah atau kantor terus kalau pekerja di pasar tidak bisa menabung di mandiri dong
anger,jadi pemimpin gubernur harus pikir matang matang menciptakan pekerjaan kembangkan tong sampah buatan indonesia anti bocor dan lain lain untuk dibeli kebutuhan dalam negeri bukan beli impor tong sampah
happy,saat kita lagi euforia gitu sih bapak bilang kalian ini tukang bikin masalah pakai nada bapak bapak yang habis marahin anaknya karena meminta jajan tapi tetap dibeliin
sadness,saya rindu tadi malam sebenarnya tapi sinyal menghalangiku jadi saya lanjutkan saja siang ini saya rindu
happy,lalu beliau balas ngapain takut tinggal bicara aja ah sih bapak berlalu dan ku masih terkagum sampai saat ini beliau tidak jahat seperti yang tergambar di rangkaian tweetku sebelumnya beliau hanya butuh ku dan temenku ngomong beliau mau tahu masalah kita tuh apa
anger,suruh ignore tapi dia sibuk mengurusin juga haha sesama perempuan kok saling menjatuhkan
sadness,mungkin ada peneliti yang ingin riset mengapa di partai tertentu banyak yang terlibat korupsi kalau moral sih kurang lebih apakah jumlah yang harus disetor ke partai terlalu besar
happy,he malu banget contoh salah paham dalam cemburu tidak berani duduk sebelahan ketika ada dia dan kamu mikirnya tuh kan kenapa sih tidak mau sebelahan pasti biar tidak dikira menempel terus sama aku hehehe padahal karena sebelahmu sudah ada teman yang lain
anger,tidak bisa tidur malas bongkarin tidur pakai jeans berharap segera pagi
fear,cuma mau menunjukkan ini kak kalau linimasa saya yang begini kamu samakan sama mereka yang tergugah isu isu busuk politik dan saya bisa bilang apa lagi
love,seseorang pernah bertanya padaku seperti apa cinta itu cinta itu seperti sekepal jantungku yang tidak bisa melupakan degup sebentuk paru paruku yang tidak bisa meninggalkan udara dan seperti saya yang tidak bisa kehilanganmu us
sadness,kasihan yang sudah mengincar sekolahan pakai usaha belajar dan nilai ya sakit hati kalau nilai bagus tidak apa apa seharusnya ada evaluasi bagi yang sakit hati tapi tidak sesuai target nilai dimutasi gitu kenapa sekolah tidak pakai sistem mutasi
happy,teman sama saya nih berhubung dia lagi tidak punya pacar baru hari makanya mengganggu orang barangkali ada yang mau kenalan dia bilang kemarin kalau dia mau cari pasangan yang bisa mengertiin tugasnya hehe
anger,x jangan bodoh bodoh sangat bos diketawain kirik nu itu nahdlotul ulama kyai staquf pengurus nu cebong benci islam hello cebong
sadness,seperti katak dalam tempurung kepercayaan tinggi terhadap hegemoni ilmu sains dan teknologi sebagai solusi pragmatis apolitis dari beragam permasalahan di indonesia adalah suatu bentuk dogma sila google scientism sila google arogansi alumni itb ehh
anger,ini sudah masuk ke proses penjualan tapi pas dibuka detail kok bahkan begini apakah produk sedang diproses atau diproses tanggal
anger,saya juga ingin marah bacain komentar komentar netizen yang memabahkan iya tuhan tidak habis pikir komentar komentar seperti ini yang bikin kasus pelecehan seksual akan tenggelam begitu saja tidak ada hukuman untuk pelaku lebih sedihnya rata rata yang komentar jahat adalah perempuan mbak mbak kesehatanmu loh
anger,kamu mau bicara apa kayaknya kamu dendam kepada anies pernah disakiti oleh gubernur anies salah apa anies kepadamu kenapa dendam kamu kelompok dki yang tidak punya gubernur anies bukan pada tempatnya kamu mencaci caci anies salah
anger,orang yang suka memaksa juga membuat tidak nyaman dari awal sering sekali kalau bicara pakai kata harus sekarang yang buat dia harus belum tentu penting kan buat kita lagian kenapa juga harus selalu sekarang menggaji saja kita belum tentu boleh memaksa ya by
love,percaya saja kalau tuhan punya rencana baik toh setiap orang pernah berbuat kesalahan yang penting bagaimana cara agar tidak mengulang hal tersebut
anger,dunia ini memang keras kalau menghadapinya dengan lembek iya tidak perlu hidup
sadness,kadang secapek itu juga membuat tahan hati untuk tidak menyalahkan diri sendiri dan menghina diri ini super bodoh dan mental tempe tahu risol berasa gorengan yang ampas ampas gitu tapi tidak boleh karena bagaimanapun juga diri ini sudah bekerja keras berusaha
love,satu lagi kalian dua akun base yang paling saya sayang yang paling bisa mengingatkan satu sama lain dan terima kasih banyak buat admin adminnya i cinta you i cinta you i cinta you i purple you
happy,tweet salamsaum kita harus bangga kembali meraih opini wajar tanpa pengecualian dari badan pemeriksa keuangan tahun keberhasilan ini merupakan kerja keras kita semua untuk mewujudkan kementerian pertanian yang bersih berintegritas serta berpihak kepada petani
anger,huh siap tanggal ulum sunguh menyeramkan kenapa tidak langsung naik kelas saja sih ribet amat mesti ada ulum
happy,habis take away beberapa menu tulung agung pasar baru sebelumnya tiap kemari dapy selalu makan rawon doang tapi ini nyicipin makanan berbeda sekaligus nasi pecel sama campurnya enak
anger,anak nevolone marah karena anton
anger,tidak perlu banyak berandai andai hidup di dunia real tidak seperti di film radit and jani gunakan pola pikir yang logis saja sekarang sih
sadness,begitulah mulai perkenalan dari awal itu menjelimet belum pertanyaan pertanyaan menyebalkan yang harus sekali dijawab iya kalau lanjut kalau tidak iya sia sia kan
anger,mau tahu rayuan cowok kadal tertawa kamu cantik kok belum ada pacar sih kamu suka lagu apa nanti dinyanyikan nanti lagunya saya mainkan di spotify kamu tuh manis deh bibirnya saya suka bibirmu begitu lah sudah basi
anger,tapi kemarin rasanya memang benci banget gegara masuk kamar ada foto dia sebell flashback minggu menonton lihat meme
anger,mengomongnya sih ayo kita sama sama sampai windu lagi atau lebih tapi giliran sekarang di chat tidak balas di telepon ditolak diajak ketemu bilang sibuk pokoknya ada deh jutaan alasan bullshit nya kalau mau menghindari itu bilang saja sih tidak perlu gitu classic sekali anjing
sadness,jadi jika hari ini kita dihukum atas kesalahan kemarin ikhlas saja karena buat penghujatmu akan ada hari esok giliran dia terima konsekuensi atas kedzalimannya insya allah
anger,sejak dulu kala tidak pernah tertarik dengan acara acara sejenis ini acara cuma tertawa tidak mencerdaskan buang buang waktu tidak bermanfaat kok tidak malu ya bikin acara seperti itu
happy,alhamdulillah di tempat kami tempat belanja lokal bahkan jauh lebih murah dan lengkap dari lapak sebelah tidak perlu disuruh sudah saja semua ke sana usaha yang ihsan dan rapi harusnya milik punya orang islam
happy,baru tahu kalau setiap edisi itu tidak cuma di upload lengkap ke youtube tetapi juga ada versi pecahannya yang sudah di cut per film lumayan ini untuk menghemat waktu dan kuota juga karena durasinya paling lama hanya menit
happy,kala mudik balik ke surabaya logistik bahan pangan lengkap apalagi habis panen bakal tidak beli beras sampai beberapa bulan alhamdulillah nikmatnya pulang kampung
sadness,balik ke rumah badan jadi melar lagi coba saja di kosan makan buah untuk buka saja juga sudah cukup percuma deh menurunkan berat badan di perantauan baliknya menimbun lemak lagi
sadness,min akhir akhir ini kualitas sinyal internet telkomsel di tempat saya desa mlaran kecamatan gebang kabupaten purworejo kok menurun ya yang tadinya g jadi h jadi mau browsing buka sosial media lambat sekali kasus ini juga dialami sama tetangga saya mohon info
happy,terima kasih aji selamat ulang tahun
love,untuk cinta yang telah hadir inginku berikan yang terbaik cinta yang bukan hanya karena allah tapi juga cinta yang selalu bersama allah cinta yang terakhir cinta yang tanpa akhir cinta yang sampai surga
sadness,kayaknya habis ini mataku harus dimandiin pakai abu biar suci karena habis melihat adegan yang tidak senonoh di mcdonald s yang tidak lain adalah adegan orang yang saling bermesrahan di depan mata hukumuu
sadness,puasa tahun ini terasa sekali kurang khusyuknya shalat tarawih sama mengaji bisa dihitung jari berapa kalinya padahal belum tentu tahun depan bisa merasakan lagi
love,saya rela pergi pagi untuk menemuimu saya rela pulang malam untuk menemanimu jangan tanya alasannya semua datang tiba tiba kita jalani saja yang penting sayang saya selalu ada untukmu tidak perlu lagi kamu ragu yang penting sayang cintaku hanya untukmu
happy,oh buat muka wkwk kalau muka itu biar tidak kusam kadang pakai sunscreen saja setiap keluar sering yang membuat kusam bahkan itu sama pakai moisturizer saja pakai hadalabo saja sudah bagus
anger,paling menyampah orang suka membandingkan saya dengan orang lain dia dia saya aku tidak suka boleh pergi lah
anger,gap sudah hitam manis laku pula daripada cuma mengaku ngakuin pacar orang iya
happy,yuk kita siap siap untuk berihtikaf di malam sepertiga terakhir mudah mudahan kita mendapat malam bulan karena tahun depan belum tentu ketemu lagi dengan bulan yang penuh maghfirah
love,sayang banget bangga banget besok giliran saya yang memamerkan ijazah kelulusan iya dan banggakan kalian walaupun tidak secara langsung sukses terus iya mas mas ayo berjuang bareng
happy,alhamdulillah iya allah makanya jangan kasih kode kalau mah ngode spesifik langsung tag kamu aku kamu aku saya kan terpancing
anger,idealnya memang komisi pemberantasan korupsi harus meningkatkan status ganjar dari saksi menjadi tersangka agar kecurigaan bahwa dia dilindungi oleh kekuasaan bisa terhapus dan kpk pun bisa dipercaya lagi
anger,mubalig versi menteri agama sudah disiapkan bahan ceramah harus sesuai dengan menteri agama lucu juga ceramah terkendali jika para mubalig menolak menteri agama mundur iya dong kalau punya harga diri
sadness,sudah dianjurkan suruh buka hati ke cowok pelan pelan saja kata mereka jangan cuek banget belum temu yang cocok bagaimana dong lagi saya lagi senang begini lihat yang pacaran memang pengen tapi pas lihat mereka bertengkar jadi males
love,sahabat aku ada di avatar tuh saya polos tapi dia baik banget care banget lucu pintar juga sayang dia
fear,tapi karena pengalaman saya yang minim takut orang orang sudah tidak percaya duluan sudah semester atas terus pas open recruitment kan biasanya yang wawancara sudah anak angkatan bawah suka minder begitu wah iya sudah sekalian mutualan yuk saya butuh positive people sek fear
fear,terlepas dari agama tetap saja tidak mau operasi plastik banyak masalahnya hasilnya kadang tidak bagus dan terlihat tidak natural begitu karena tidak cocok dengan bagian wajah yang tidak dioplas jadinya takut menyesal nanti bisa kecanduan dan merombak semua jadi monster plastik dong
sadness,dulu pernah belajar kalau sudah suka sama orang susah buat lihat kejelekannya dan kalau sudah kesal iya kesal saja sekarang kayaknya hampir semua kayak begitu rakyat mulai tidak bisa mengapresiasi pemimpinnya apalagi pemimpin yang dibencinya dan juga sebaliknya
anger,ya apa salahnya sih mbak dishare ulang post an mu itu di grup sudah tenggelam jauh kirim foto ini foto itu tahu sendiri kan gregetan saya itu mbak karo koe
anger,sering sekali saya digantungin pas ketemu apsara lagi kok perawatannya makin banyak makin gendut saja sih wah senyum saja iya iyain saja dalam hati bacot kamu anjing
happy,kak lagi belajar buat ujian apa sudah istirahat tidak niat muncul bilang terima kasih sketches hari ini lucu gitu atau apalah jangan pelit muncul ya haha kalau lagi belajar semangat ya siapkan camilan jangan begadang adik
anger,di atas langit masih ada langit tapi bagi saya kepentingan politik luar negeri harus pragmatis mendukung kepentingan domestik bukan sekedar sentimen negara donor terbesar palestina as kemana turki dan arab kenyataan yang harus anda pelajari
happy,pelayaran aman selamat tertib dan nyaman pastinya repost mudikbarengguyubrukun kawulamoda lebaran
love,kalau kamu sayang seseorang mau tidak kamu menunggu dia sampai tahun kasih alasan karena susah jatuh hati kalau satu iya sudah satu saja
anger,ayo viralkan adu mengaji jokowi yang katanya tukang kriminalkan ulama versus prabowo calon dari rizieq dan kawan kawan calon yang didukung partai allah ngakunya buat prabowo jangan pura pura tuli ya dengar tuh tantangan jk
happy,sangat bersyukur bisa mendoakan kakeknya bung karno bersama anak anak yatim piatu bulanbungkarno junibulanbungkarno penyambunglidahrakyatindonesia nomor untukjatim jatimpilihgusipulputi kabehsedulurkabehmakmur h
love,semangat sayang saya juga menunggu anak kita yang akan lahir haha exo ingsoon exo exoplanet weareoneexo
fear,min mau tanya misal ada kesalahan buku pajak seharusnya ppn tapi ternyata pph minyak bumi seperti gambar berikut solusinya bagaimana
happy,selalu bahagia dikelilingi orang orang baik orang tua yang baik keluarga yang baik pasangan yang baik teman yang baik ternyata ada nikmat lain yang lebih indah dibandingkan materi yaitu dikelilingi oleh orang baik terima kasih banyak yang maha baik
sadness,baca balasan iim jadi mikir lagi menabung bulan ini untuk menetapkan target menonton persib dan membeli jersey original bulan depan tidak memikirkan masa depan ketika sudah tidak ada ayah tidak mungkin meminta kepada kakak yang sudah memiliki keluarga tidak enak dengan istrinya h  pikiranku dangkal sekali hehehehe
anger,kagak kemarin kemarin saja   payah tuh bocah
love,beautiful summer ini bandung bandung cikutra ensenangbandung payingrespect
sadness,kalian tidak sadar bahwa ada banyak sekali orang dalam bus sewaktu kita kemarin menuju ke istana kalian bahkan tidak mengajak mereka berkenalan berbeda dengan hari hari sebelumnya coba pikirkan mereka juga gugur namun mereka menikmati perjalanan kemarin
fear,semoga semakin paham dan semakin takut kepada allah swt saya berlindung kepada allah swt dari godaan setan yang terkutuk
love,karena cinta yang sesungguhnya berasal dari hati dirasakan oleh hati diungkapkan lewat hati yang diterjemahkan ke dalam setiap bait puisi
happy,selamat ulang tahun istriku tersayang yulyyanti armal prasetiyo semoga panjang umur sehat selalu rejekinya lancar tetap menjadi istri yang sholihah mendapatkan kemuliaan di
anger,umur tahun omongan kayak tante tante tahun   saya lebih suka sama bocah sd yang masih culun dan polos
love,bibi esta oh my god kesayangan saya banget bibi baik banget sayang bibi wkwkwkwk bibi asik banget perhatian banget aah sayang sekali hiks sama bibi tiada kata yang mampu mengungkapkan rasa sayangku padamu
happy,cita cita kecil petani lulus sd dokter apoteker lulus smp perawat psikiater fashion designer lulus sma ahli gizi desainer interior ahli desain grafis lulus kuliah semua cita cita terkabul
happy,the best of dongeng sebelum tidur terima kasih teh me purple you god bless you terima kasih sudah bikin kopi tambah dan bawa perasaan malem malem terima kasih sudah bikin saya cinta lagi sama couple ini disaat saya sudah mau move on terima kasih sudah bikin keinginan punya pacarku muncul lagi makasih mau allah always bless you aamiin
love,pantas ada notifikasi di facebook hari ini tahun yang lalu video ini membuat saya semakin yakin jatuh cinta pada pandangan pertama sama dia awalnya adik gemas fever melanda
anger,beuh muter line jakarta cikarang jangan ditanya lagi penuhnya sesak bro petugasnya kemana penuh sesak gitu mah tidak bisa jalan kesana kemari atuh petugasnya lapor gimana kalau ada pelecehan hajar saja ditempat ya pelakunya bikin ramai dulu
sadness,setelah mual mual karena terlambat buka puasa akhirnya sampai rumah juga setelah hampir jam keliling sama abang grab keliling kampung karena dia tidak mau lewat tol
happy,habis sahur shalat subuh balik tidur lagi bangun jam dan sampai ruangan jam kurang menit sepertinya saya harus mengapresiasi diri sendiri karena dapat mandi seragam pakai bedak dan lipstik dan berjalan dalam waktu menit
happy,pasti banyak yang belum membaca manga dan merasa kalau ini remake amerika seperti power marah yang baru dirilis kemarin padahal manganya mantap bro dan memang sejujurnya seperti thor dipakaikan baju iron man
sadness,andai indonesia malaysia tidak perlu guna paspor malam ini saya sudah sampai malaysia lagi itulah hidup selalu dihadapkan dengan pilihan mau tidak mau salah satu harus direlakan
sadness,muka cemberut don t be sad baby
anger,please help cara leave whatsapp grup yang isinya cuma orang teman dekat kampus tidak dekat juga i m faking it mereka sangat toxic dan meniru segala yang kulakukan
love,kalau pasangan lagi sakit rewel atau bad mood kasi dia perhatian kasih sayang yang lebih
happy,akan ada satu hari kamu yang ikhlas di hujat fitnah adu domba melangkah ringan di hari perhitungan karena hukuman di terima di dunia dengan semua ikhlas terima kejahatan mereka padamu dan urusan mereka biar allah yang tangani saja
love,yang mencintaimu sebisaku entah itu sebisa saya menjagamu dengan cara yang seperti apa atau sebisa saya menjagamu dengan cara yang bagaimana
anger,mengurusi neraka orang sampai bikin hashtag calonpenghunineraka sedangkan sholatmu masih bolong bolong al quranmu masih tersimpan rapi di almari dan uangmu masih belum berkurang untuk sedekah pikir dong
anger,hidup di zaman sekarang ini kalau hanya ingin dipanggil ustadz saja gampang berpakaian muslim pakai kopiah putih apalagi bersorban dengan rapi berani bicara dengan sedikit menghafal ayat terjemahan sudah di anggap penceramah dan tidak sebut ustadz tidak perlu mondok bertahun tahun
sadness,karena mereka tidak mengenal rasa tanggung jawab mungkin pas di sekolah sukanya juga mengkritik gurunya makanya terbawa ke media sosial
anger,akibat jika tidak ada uangmu yang tidak terlihat orang pun cuek dan pura pura tidak kenal jangankan manusia iblis pun tidak mau lihat kamu dan kebanyakan sifat manusia melebihi iblis serakah dan rakus jadi selalu lah diam dan tenang agar tidak dinilai dengan uang nasehat
anger,rumor seperti ini umpatan apalagi bagi partai oposisi untuk mencela citra sosok presiden ir h joko widodo tidak sekali deh kamu
happy,sudah ah makin melantur wkwk pokoknya niatkan untuk tidak pakai bulu mata palsu jangan khawatir bakal ada rintangan ini itu yakin saja kalau niat baik pasti allah bantu semoga segala niat dan langkah baik kita termasuk meninggalkan bulu mata palsu ini allah kasih ganjaran surga ya
sadness,ini dia sih pembuat sembab berpasang pasang mata setelah melihat pertunjukkan boneka
anger,aduh lebih baik belajar baca dulu deh sebelum komen status orang biar tidak salah arti tuh tertawa malu loh asal komen tapi salah wkwkw
anger,niatan busuk banget teman kok kamu gituin saya busuk nih terus sadar sudah meminta maaf tidak dimaafkan nih iya sudah terus saja saya busuk dan tidak pernah bisa difermentasi ke hal baik lagi makanya sekarang biarinlah saya hidup bergelimang karma dari kalian
fear,di kostan saya sering muncul saya sama temanku selalu matiin tapi muncul lagi dan akhirnya yang terakhir kita bakar sampai sekarang tidak pernah muncul lagi takut sekali sama ini sumpah
love,too much camera tapi look hahaha by the way bahagia th anniversary sayang tahun yang sangat mencabar dan semoga kita sentiasa dirahmati allah swt selalu cinta you
sadness,sumpahnya melihat blackpink jadi ingin punya rambut panjang lagi hiks tapi sampai kapan pun rambut panjang saya tidak akan mirip mereka heft
fear,jadi seperti kebalik begitu dulu media sosial jadi pelarian bagi saya untuk mengekspresikan kegilaan sekarang karena media sosial jadi lebih menakutkan dari dunia nyata eh jadi dunia nyata yang saya jadikan pelarian dari media sosial
happy,ini adalah kisah blusukan presiden jokowi yang saya ikuti di mana beliau mendatangi masyarakat menyalami mereka bertanya dan mendengarkan yang mereka rasakan menindaklanjuti kepada pihak terkait sehingga satu persatu masalah bisa diselesaikan jokowisekalilagi
sadness,apakah benar kita lebih pantas dibanding mereka yang mendapatkannya kita tidak tahu kita hanya melihat perjuangan kita tanpa melihat perjuangan mereka yang tidak terlihat oleh kita sederhananya masing masing sudah diberikan tempat oleh tuhan dan tidak akan tertukar
anger,hahaha lucu sih diunfoll mantan yang account nya sudah tidak pernah aktif tahun yang lalu pas aktif lagi saya di unfollow makin terdengar suara untuk kebenaran semakin bagus kalau benar tapi kalah keras sama yang salah itu yang harus diatasi
