word,corrected
jorok,jorok
jaten,jaten
dipermasalahakan,dipermasalahkan
jealous,cemburu
after,setelah
jaim,jaga image
ge,saya
dlem,dalam
ekhem,ekhem
berjamaah,berjamaah
liatin,melihat
terussss,terus
ngelahirin,melahirkan
initerus,ini terus
merakit,merakit
enek,enek
ngapus,menghapus
fitnahnyagak,fitnah nya tidak
mobilnya,mobil nya
keburu,keburu
gapeduli,tidak peduli
dinyirnyirin,di nyinyirin
papalove,papa love
gilsssss,gila
tristan,tristan
kementan,kementrian pertanian
sadnesssabar,sadness sabar
sbelah,sebelah
perkosa,perkosa
eug,saya
juliaperrez,julia perez
mrnghinamu,menghina mu
razzan,razzan
serabi,serabi
ketidak mampuan,ketidakmampuan
nyilet,nyilet
ciptain,menciptakan
gubah,gubah
pantangmunsur,pantang mundur
khalifah,khalifah
makasih,makasih
gapapaaaa,tidak apa apa
slow,lambat
kisahku,kisah ku
vian,vian
orba,orde baru
lawy,lawy
charge,charge
gik,gik
bertambah,bertambah
manjat,memanjat
nemo,nemo
alergi,alergi
sebenernya,sebenarnya
polower,pengikut
serangga,serangga
ntn,nonton
dipuji,di puji
semangaaatttzzzsss,semangat
baikkkk,baik
istriku,istriku
jelek,jelek
gosling,gosling
engkaukan,engkau kan
yamakanya,ya makanya
terangan,terangan
banggamengawalmu,bangga mengawal mu
suriah,suriah
cuat,cuat
deteksidinihepatitis,deteksi dini hepatitis
iri,iri
pdidikn,pendidikan
mamarika,mamarika
dug,dug
jauhkan,jauhkan
panyun,panyun
sehatrezekiumur,sehat rezeki umur
suzuki,suzuki
masrakat,masyarakat
kriteriaku,kriteria ku
nurcholish,nurcholish
menghubungi,menghubungi
kesiapa,ke siapa
pembatas,pembatas
skrg,sekarang
lebat,lebat
sejak,sejak
carikan,carikan
penunjang,penunjang
mudikbarengguyubrukun,mudik bareng guyub rukun
tampilkan,tampilkan
diajak,di ajak
berhasilcocot,berhasil cocot
meningkat,meningkat
dilatih,di latih
usahain,usahain
nich,nih
