label,tweet
fear,"and one thing that is very important is not that I am pretending to be religious, but if the business capital is already from usury, it is better not to try it, I am sure that the business will be finished and there will be nothing left. I have experienced it myself, Allah really gave me proof according to the word and sunnah of the Prophet."
sadness,"It's hot, itchy and stings, oh my God, it's really bad"
sadness,"I also want to disable Instagram because it's too much trash on Explore, all toddlers are taught to make TikToks too"
happy,hopefully you will be successful in the future
anger,"why are you and your kind stupid, why are the jaks being taken so badly, ah, the contents of the septiteng"
anger,"boarding house near the office, arriving late and sleeping carelessly on the sofa of office friends during the day like this really needs to be criticized"
happy,"Thank you for providing enlightenment on domestic television, even though now many channels are increasingly trying to present dark shows, but you don't join in."
sadness,"e by the way yes tumblr is really blocked for Indonesia yes after months finally the application really can't be opened, it keeps on teering"
happy,"For what if I have a new personal puter Agus I will trade it directly, this is the same, bro"
anger,remember this is usually lightning fast now it's very slow Instagram doesn't refresh at all Twitter is the same how come I'm bored of asking for numbers all the time but it's been this slow
sadness,"oh yeah by the way, so at the same time, if you're not established yet, don't get married, if you want to live comfortably, learn to manage your money properly. This message was delivered by a man who had children in 2017. Be right, back, kill yourself."
happy,"Done The last painting was finished yesterday and has been wrapped and taken home, hopefully you like it."
anger,"How dare you not comment, right? Talking is similar to the most Pancasila. Want to ask when I'm talking about Pancasila? Are you drunk or talking while looking at the text? Young people are optimistic, heh. Young people who have lost their sense of shame, right?"
fear,"This morning watching the news, the headlines are scary, starting from husband killing wife, grandfather raping granddaughter, Solo grilled chicken, this news is really scary"
love,"everything, for some reason, yes, everything I do can make me sometimes forget that I am just a speck of dust, they can really make me special, that's why I really love them"
sadness,"oh I thought it was true then I stared at the cellphone screen hoping for a reply, it made my eyes red, holding back tears, haz k"
happy,"Luckily, I have found a guy who really loves me for who I am, all my good and bad things, and even more so my shortcomings. I can't express anything else except being grateful, grateful and grateful."
anger,"The incoming message is sexual harassment and it is something that cannot be said to be normal in a culture that understands patriarchy very well. It does seem unimportant, but try treating your sister, friend or girlfriend like that, keep up the spirit, Gita."
sadness,"Compared to the image, I feel that being a parent is fun and enjoyable, so choosing to skip things that are unpleasant and lead other people astray is better than embracing them. It doesn't matter if you are called ungrateful. Parenting is not as easy as just liking small children."
anger,I applied for PayLater but it was rejected for reasons that were not detailed enough. Can you help me with a more specific reason? I think the photo of my ID card and the information I provided are clear enough regarding the criteria that Traveloka wants?
anger,"The effect of the election is toxic, even though the toxic person succeeds in changing himself to be more religious and repentant, but he doesn't just keep being paranoid and full of hatred."
anger,"Opening a new account at Mandiri is complicated, you have to have a home or office telephone number, and if you work in the market, you can't save at Mandiri."
anger,"It's really annoying when there are seniors at work who are like this, you know, you haven't finished asking the question, it's already been answered, luckily you don't have a knife in your hand"
love,I'm not easy to love I'm not easy to admit I love I'm not easy to say I'm in love my humming is only for love my asceticism is only for you there are no lies I swear I love until I close my eyes let it be like the sky you look at every day it's tight I can't have it let it be like the sky if I like I give you dusk if I give you sorrow I give you misery
anger,"Everyone must have gossiped and had gossiped, the difference is whether they did it just to vent in a trusted place or deliberately vent on social media with the intention of destroying"
sadness,"Well, often there are still officials who only want benefits and money but don't want to take responsibility for the contents of the documents or their policies."
love,yes my god always and always when I see him like this I smile and smile I love his gummy smile pretending to be much
happy,"I just fell asleep for a while and had a scary dream, so the story is that there was an animation camp and something like that at a campsite that was strangely related to real life. First, there we were all playing volleyball together, which is something I often do."
anger,"Ahok PDIP fans, why are they never objective in assessing achievements? Why is Ahok always claimed to be the most successful? In my opinion, misleading public opinion is evil."
happy,"wandering around grandma's house, it turns out she's making curry, it's fun to meet the beautiful princess I've been looking for at this hour"
anger,"I ask seriously, if you reveal the debtor's name to the media, doesn't that violate Bank Indonesia regulations regarding customer confidentiality?"
anger,citing creative level school is not really so the school is too tacky yeah whatever always uses the new flagship seeing the flagship yeah hahaha
sadness,damn haha ​​rather than you being upset wehehe you are already stressed from the start div
anger,"Sorry, my mutual fund application was approved in May, why didn't I get a gift card voucher? I checked my email and there was nothing."
anger,because retreating is a betrayal behind the fence of the stands we continue to speak out to raise the spirit of the players on this field our voice
anger,"If it's so how about the police, the culprit is the riot, what is only dissolved, why not just shoot dead so that the deterrent is not done again. Thank you"
sadness,"he said it's not like me to be a fried rice seller, I'm very sad to hear that many people want to take steps, want to start a business, are hesitant, afraid, don't even have an idea, he even said that"
anger,"no need, bro Karni, what needs to be opened now are cases of human rights violations such as the kidnapping and murder of students in the New Order era"
happy,"Sunday July Anak Gunung Krakatau Walk as far as possible, run as fast as possible and dream as high as possible because life is a journey, make the journey as interesting as possible for stories in old age"
happy,You really want to dedicate yourself so you can be called an education hero hahahahahah
happy,"Regarding yesterday's experience, my body and soul were not in tune. At first I was restless and contemplating it with a friend. The result was that God was very good and gave me the trust to overcome life's complex problems."
sadness,"It's always like that, yes, the cycle, no matter how often we've been with other people, it's always difficult to start something new."
sadness,"Holidays start from the date of entry, the date of data collection, that date, if all the reports are finished, then when will I do them? You are sad, bro. You failed like this. You are still studying hard with bang Dylan."
happy,"It's only been a week since we got married but I feel grateful to have chosen the path that Allah gave me. Masya Allah, I was given a brother who is truly understanding and willing to accept me as I am, to the point where I can't imagine being replaced by anyone else."
love,"I also fell in love with this song and fell in love listening to it, it turned out to be released and I just found out now"
sadness,"photo at a friend's wedding with the boss and also saw that bro was getting thinner and looked sick after a month, chatted with him about work and he said he was sick and was being treated in hospital"
sadness,innalilahi I am inna ilaihi raji un may all his deeds of worship be accepted and blessed by Allah swt. May the candidate of Ustadz Abb be given guidance by Allah swt or get all the rewards he deserves.
love,"eh what else, you are so mature, oh yes, you are also a slave to love, but it doesn't matter as long as Sabila is happy, I love you"
happy,"I don't know if this tweet will get a lot of support but I want to say thank you and all the Bangtan members deserve to be loved by the Army. Love Bangtan, don't be divided, you have to be strong and love everyone, forgive each other as fellow ARMYs, don't let fellow ARMYs hate each other"
anger,"I want to ask, is it good to remind someone who has debts repeatedly and every time they ask for it, the answer is no, so what number of hell is suitable for them?"
anger,"This is also a lesson for other football players so that you don't act carelessly towards women. You don't need to feel like you have the best vital condition in the world so that you are free to feel like no woman can refuse you, let alone speak up when you feel harassed."
happy,"Congratulations, my second little sister, on the birth of your third daughter. As a big sister, I am very happy and grateful to have been given safety by Allah SWT during the birth process of your third daughter. Last night, I prayed that your third daughter would be a pious daughter."
love,benny nay people say fire is hot naya yes of course ben benny but there is something even hotter nay naya what is that ben benny my flame of love nay naya o this is it
happy,"oldmoney doesn't feel like buying stupid foldable dodol that can be shaped into any shape. I like the shape of birds that can make sounds the most, or if I'm bored I add sago to the dodol and it looks like a witch's hair, laughing."
anger,"Your dick looks ugly and shriveled from your Twitter answer, surely in real life no one wants to have sex with you, it looks like you're upset and angry when you get a direct message like this, if you're upset it means you have the same fate as Ms. Valen"
anger,Can they be considered brothers if they intend to break up the event of the ustaz who will give us a sermon on knowledge? Think about it a little.
sadness,"I was forced but I'm not a gem kid, the only thing I can do is candy crush, instead of playing together I'll just be told I'm stupid"
love,"No, every time I have an assignment or exam like this, there's always something like this, because if there's no one to ask, it's like a walking Wikipedia, everyone knows what I am, so if that's the case"
fear,"Likewise, the tongue, although a small part of the body, can magnify big things. Look, no matter how small the fire is, it can burn a big forest."
fear,"Oh, I'm so afraid there will be a problem because I'm afraid of being fined due to my ignorance hahaha, one more thing for branch income tax, it is still reported with the branch taxpayer identification number, right? Only VAT is centralized, right? Yes, income tax is still reported with the branch taxpayer identification number"
sadness,"Sometimes it's like that when working in a group, it's not selfish to want to be in a group with people like me, but people who know my nature, how I learn, how I make friends, I don't feel good in a group with people who study hard while I'm the one who does everything."
anger,"There is no need to blame anyone, all the bad things that happen to you are due to your own stupidity and mistakes and this is not an insult but a stern warning so that in the future you can be smarter."
anger,What do you want to talk about? It seems like you have a grudge against Anies. You were once hurt by Governor Anies. What did Anies do wrong to you? Why do you have a grudge against the DKI group that doesn't have a governor? Anies is out of place. You're cursing Anies. It's wrong.
happy,"It was a blessing when I was about to enter the parking lot and another car snatched me even though the parking lot was full at that time. Understandably, if there was an empty one, I could get it first. Oh, right in front of the entrance, there was another car parked and wanted to get out."
anger,there is Instagram asking for line given line asking for WhatsApp why not just ask for the Playstore so it's one package there is Instagram WhatsApp Line Mobile Legends is also there
happy,"It's good, it's similar to a tourism advertisement video, the cinematography editing technique is blah blah blah blah, it's really great"
love,"If a guy likes or is serious about a girl, isn't it true that he will make an effort to do what the girl likes, especially trying to be what the girl's parents like, hehe?"
