label,tweet
anger,haiyaa dagangan kayak im isis hati laku iya bubarkanpks
happy,mengamalkannya salah salah orang mengamalkannya ya muqollibal qulub tsabbit qolbi alaa diinika
sadness,kasihan mama hulk ijo membesarkan anak nyali pakai akun anonim badan otak kosong
sadness,pergi klinik kecantikan erha natasha mama melarang marah mengeluh perawatan
happy,kangen dipanggil nama mendengar dipanggil kangen wkwk jaman sih teman teman sok akrab dipanggil geli kangen
happy,makan kerupuk berisik pakai celana pas tidur mata ngantuk asik sahur inisahurtike harike
love,hu  sayangku melow sih cinta you aa h cinta sok much beruntung jumpa my sweetie
happy,tuhan hati mulut bersyukur mengeluh mengomel selamat siang sahabatku
sadness,memiliki iphone plus restart terkadang mengalami bootloop masuk sistem mencoba mematikannya kadang kadang masuk sistem iya
happy,persahabatan filosofi memiliki nilai hidup nilai kelangsungan hidup bahagia friendship day
fear,tamsil islam nusantara tiang dipancangkan tergesa gesa kemarin sore pondasimu dangkal dangkal ditanam engkau takut mati angin semilir segar caci kutuki
anger,bpip bpip tokoh bangsa terhormat bpip hidupkan pelajaran budi pekerti ppkn pmp bekal esok
love,bahagia anniversary iya sayang semoga allah swt memberkahi rezeki pelaminan keluarga sakinah mawadah
love,menurutmu relationship goals sejujurnya iya mencintai menyayangi kompromi menghargai membutuhkan memahami melindungi
happy,puisimalam apapun alasannya tuhan semoga kelak menerima balasan perbuatannya mendoakan amin ttd admin sore
happy,pengalaman kemarin jiwa raga seirama resah curhat kawan berkontemplasi hasilnya allah iya kepercayaan mengatasi hidup kompleksnya
anger,kesal tamu diskon oke giliran lebaran kabur anjing belajar tega kayaknya
happy,senang mendengarnya selamat iya sidang menungguin wisuda gandeng yuhoee
sadness,berduka cita kawan a cak semoga keluarga ditinggalkan kesabaran meridoi kepergian almarhum sajete wani
sadness,presiden wow cepat iya pemilihan presiden sebentar terpilih presiden amerika serikat dunia berjalan kecepatan siput menjabat
anger,bisnis menghabiskan uang rumah tangga menerus merugikan dihentikan mencari bisnis mencari ide mengurangi biaya operasional menjual online merugikan uang rumah tangga digabungkan uang bisnis
sadness,sabar iya he lebar disangka mencintai allah lain lain
sadness,puasa badan kurus lebar klimaksnya pas raya gemuk iya
anger,aduh mas omonganmu sih orang orang dicolek duluan iya marah bikin twit untungnya menghasilkan uang
anger,pulau buatan selagi pulaunya apartemennya iya dicancel kepentingan rakyat dki sampah dicancel enaknya memelihara kecebong
love,semangat iya kak hani semoga papamu karunia nya secepatnya rajin solat mengaji berdoa ramadan orang kakak doanya secepatnya dikabulkan allah amin iya allah
anger,rakyat sejahtera jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi jatengdaruratkorupsi
love,perkenalan pertamaku laruku lagu penutup samurai kali langsung jatuh cinta
anger,sisi agama muslim salah iya salah mindset agama sisi kemanusiaan kemanusiaan laknat tolol
sadness,menunggu teksnya silakan kirimkan
sadness,rencana makanan tetangga mendekati raya oke tradisi atir atir rumah realita kebiasaan c tt c tt iya berbuka puasa
sadness,menemukan menemukan sosok menyambung bicara ngalor ngidul duduk pindah jam terdistraksi hp rindu
love,perempuan cantik dipuji tersaingi mencintai
sadness,menangis pundakmu pilu sungguh
sadness,topiknya emosional menangis tahan mcd manis kenyataan
happy,terima kasih kwik pemikiran pribadi terima kasih forum halnya sarumpait
fear,francey terkejut mendengarmu meneriakinya jiwanya melompat menonton jumpscare film horor wajah francey berubah ngeri wanita sebelahnya
anger,coba teman iya allah perkara dicurigai hamil ciken nugget mah iya beserta bahagia meal  
sadness,perempuan perempuan bilang pacaran dosa langsung dinikahi dihalalkan biar suruh bicara makan hati nikah cinta kasihan menangis temani gih
sadness,bilang rindu bilang cemburu
fear,seram buka facebook eh notifikasi cowok like ssemuanya facebook nge chat tolong tinggalkan
sadness,orang orang berhasil membuatku gagal kti mengetik yuk foto yuk sialnya tergoda
happy,untungnya menemukan cowok sayang burukku kekurangannya bersyukur bersyukur bersyukur
sadness,iya efek speak up beragam menjatuhkan sih lihat menggerus mental bilang speak up mental mental pe
love,puluhan motor kang endang putra almarhumah iyot jarang bertemu ikatan kasih sayang terjaga
fear,dilema anjing kentut takut gas bab mules
fear,takut fk sekolah anak paralel iya universitas beda
anger,marah dikejar penjemputan ojek online sih driver mengomong mengalami kemacetan merugi bensinnya mbak putar baliknya merugi wth
anger,tolong tingkatkan pelayanannya gara gara kurir masuk paket terlambat diantar bermasalah t cabang paskal bandung sih gara gara olshopnya t pilihan pengiriman pakai t pelayanannya
sadness,lelah bosan jenuh
anger,bersyukur menonton fast motion fm merekam hp kamera profesional terima kasih bando disuruh melepas menyebalkan orang orang merekam perasaan merekam melewati kepala egois
happy,tranquility base hotel casino arctic monkeys album kemarin lagunya intimidasi merayu vibenya an italian vampire gangster wkwk suka four out of five batphone golden trunks
anger,mengerti cewek cewek menyindir via vallen korban pelecehan seksual loh sesulit kah mendukung girls
happy,amin terima kasih iya enak selamat ulang deh sukses
anger,rumor umpatan partai oposisi mencela citra sosok presiden ir h joko widodo deh
sadness,enak badannya pulang pekerjaan iya
fear,lihat vlive kemarin memegang hp jae jae memegang hp seram screennya locked buka lock hp pakai fingerprint seram
fear,gapaham takut cowok cowok dekati basa basi menyapa bilang assalamualaikum deg degan mati iya allah
anger,heboh gubernur wakilnya tuh diperbaikin memangnya zaman kolonial rusaklah negara
love,parah wonhee cantik banget
happy,alhamdulillah rsup kariadi diurus panas langsung parasetamol botolan
anger,muak lihat tingkah anak anak tingkah suram iya
sadness,iya paham perpisahan enak tergantung menyikapinya membenci salah sikap menghargai
anger,negara memikirkan mengembangkan kehidupan jagat raya luas orang memikirkan menghabiskan energi tenaga terbuang sia sia negara maju menghadapi
fear,bayangkan berdiri mengamatimu ritual membawa makhluk mengerti pikiranku dipenuhi bingung takut
happy,mencoba mendengarkan album albumnya iya jatuh cinta album identify menonton jaman jaman debut nya belajar eback just right
fear,formal psi lolos verifikasi kpu disahkan peserta pemilu warga negara terima keputusan kpu memilih psi curiga rekayasa dalamnya
happy,lupa bermain sibuk berpikir hasil eksekusi pikiran selamat selasa semoga
love,suka gemas abang main game maaf iya maminya ikutan nimbrung iya bang cinta anak anak main game
sadness,oh iya lupa sosis telur pasar kue eh habis besoknya bakso isi super pedas kehabisan
anger,ujung ujungnya uang uang tuh uangnya bayar thr daerah disuruh bayar pakai apbd nya haiy h
sadness,selamat jam pulang kantor selamat berma cek arak ria pft
happy,the greatest showman film musikal isi filmnya nyanyi nyanyi pribadi suka genre jam menonton nyanyi nyanyi menari menari
happy,pacaran rugi terbayar kebahagian terima kasih allah engkau adil
sadness,sedih strong sih adit
sadness,siang perut karuan susah betapa sakitnya berbeda hamil merasakan perut kencang kontraksi keram mual goyang goyang level parah
love,cinta alasanku tersenyum pagi
love,sayang lihat diperlakukan adil menangis hahaha sesayang perjuangan sayang ikonic
sadness,hemat diundur pesimis kondisi negara penipuan
love,hai selamat pagi menjelang siang semangat jalani lupa awali doa iya god bless lu memelukmu udara dingin kangen juleha
love,kagum sih muda badannya anak memimpin cabang dalamnya orang cabangnya salah terbaik wilayah banten
happy,bahagia kebahagiaan keluarga
happy,geger bangkit duduk mematikan sambungan wi memesan kopi meninggalkan kajen beralih masjid sih mbah ronggo kusumo ngemplak kidul terletak rumah kawan menabuh beduk
sadness,sulit menerima kenyataan menganggap berinteraksi golongan langsung mengkaitkan golongan mempelajari utuh mengklaim
happy,aslinya pontianak tinggal semarang kak penggemar berat kota toko toko tua senang bandung diary hehehe
fear,takut akunku suspend tolong akun suspend suspend masuk kategori suspend permanen
fear,takut memfoto anak flash menyadari berbahaya langsung matanya puas fotonya iya anak
anger,situ berbuat dibayar urusan gasukak situ salah gamo maaf urusan situ sih suka situ
happy,cerita akrab sisi kayaknya akrab banget teman sekolah
