,Slang,Formal
0,@,di
1,abis,habis
2,ad,ada
3,adlh,adalah
4,afaik,as far as i know
5,ahaha,haha
6,aj,saja
7,ajep-ajep,dunia gemerlap
8,ak,saya
9,akika,aku
10,akkoh,aku
11,akuwh,aku
12,alay,norak
13,alow,halo
14,ambilin,ambilkan
15,ancur,hancur
16,anjrit,anjing
17,anter,antar
18,ap2,apa-apa
19,apasih,apa sih
20,apes,sial
21,aps,apa
22,aq,saya
23,aquwh,aku
24,asbun,asal bunyi
25,aseekk,asyik
26,asekk,asyik
27,asem,asam
28,aspal,asli tetapi palsu
29,astul,asal tulis
30,ato,atau
31,au ah,tidak mau tahu
32,awak,saya
33,ay,sayang
34,ayank,sayang
35,b4,sebelum
36,bakalan,akan
37,bandes,bantuan desa
38,bangedh,banget
39,banpol,bantuan polisi
40,banpur,bantuan tempur
41,basbang,basi
42,bcanda,bercanda
43,bdg,bandung
44,begajulan,nakal
45,beliin,belikan
46,bencong,banci
47,bentar,sebentar
48,ber3,bertiga
49,beresin,membereskan
50,bete,bosan
51,beud,banget
52,bg,abang
53,bgmn,bagaimana
54,bgt,banget
55,bijimane,bagaimana
56,bintal,bimbingan mental
57,bkl,akan
58,bknnya,bukannya
59,blegug,bodoh
60,blh,boleh
61,bln,bulan
62,blum,belum
63,bnci,benci
64,bnran,yang benar
65,bodor,lucu
66,bokap,ayah
67,boker,buang air besar
68,bokis,bohong
69,boljug,boleh juga
70,bonek,bocah nekat
71,boyeh,boleh
72,br,baru
73,brg,bareng
74,bro,saudara laki-laki
75,bru,baru
76,bs,bisa
77,bsen,bosan
78,bt,buat
79,btw,ngomong-ngomong
80,buaya,tidak setia
81,bubbu,tidur
82,bubu,tidur
83,bumil,ibu hamil
84,bw,bawa
85,bwt,buat
86,byk,banyak
87,byrin,bayarkan
88,cabal,sabar
89,cadas,keren
90,calo,makelar
91,can,belum
92,capcus,pergi
93,caper,cari perhatian
94,ce,cewek
95,cekal,cegah tangkal
96,cemen,penakut
97,cengengesan,tertawa
98,cepet,cepat
99,cew,cewek
100,chuyunk,sayang
101,cimeng,ganja
102,cipika cipiki,cium pipi kanan cium pipi kiri
103,ciyh,sih
104,ckepp,cakep
105,ckp,cakep
106,cmiiw,correct me if i'm wrong
107,cmpur,campur
108,cong,banci
109,conlok,cinta lokasi
110,cowwyy,maaf
111,cp,siapa
112,cpe,capek
113,cppe,capek
114,cucok,cocok
115,cuex,cuek
116,cumi,Cuma miscall
117,cups,culun
118,curanmor,pencurian kendaraan bermotor
119,curcol,curahan hati colongan
120,cwek,cewek
121,cyin,cinta
122,d,di
123,dah,deh
124,dapet,dapat
125,de,adik
126,dek,adik
127,demen,suka
128,deyh,deh
129,dgn,dengan
130,diancurin,dihancurkan
131,dimaafin,dimaafkan
132,dimintak,diminta
133,disono,di sana
134,dket,dekat
135,dkk,dan kawan-kawan
136,dll,dan lain-lain
137,dlu,dulu
138,dngn,dengan
139,dodol,bodoh
140,doku,uang
141,dongs,dong
142,dpt,dapat
143,dri,dari
144,drmn,darimana
145,drtd,dari tadi
146,dst,dan seterusnya
147,dtg,datang
148,duh,aduh
149,duren,durian
150,ed,edisi
151,egp,emang gue pikirin
152,eke,aku
153,elu,kamu
154,emangnya,memangnya
155,emng,memang
156,endak,tidak
157,enggak,tidak
158,envy,iri
159,ex,mantan
160,fax,facsimile
161,fifo,first in first out
162,folbek,follow back
163,fyi,sebagai informasi
164,gaada,tidak ada uang
165,gag,tidak
166,gaje,tidak jelas
167,gak papa,tidak apa-apa
168,gan,juragan
169,gaptek,gagap teknologi
170,gatek,gagap teknologi
171,gawe,kerja
172,gbs,tidak bisa
173,gebetan,orang yang disuka
174,geje,tidak jelas
175,gepeng,gelandangan dan pengemis
176,ghiy,lagi
177,gile,gila
178,gimana,bagaimana
179,gino,gigi nongol
180,githu,gitu
181,gj,tidak jelas
182,gmana,bagaimana
183,gn,begini
184,goblok,bodoh
185,golput,golongan putih
186,gowes,mengayuh sepeda
187,gpny,tidak punya
188,gr,gede rasa
189,gretongan,gratisan
190,gtau,tidak tahu
191,gua,saya
192,guoblok,goblok
193,gw,saya
194,ha,tertawa
195,haha,tertawa
196,hallow,halo
197,hankam,pertahanan dan keamanan
198,hehe,he
199,helo,halo
200,hey,hai
201,hlm,halaman
202,hny,hanya
203,hoax,isu bohong
204,hr,hari
205,hrus,harus
206,hubdar,perhubungan darat
207,huff,mengeluh
208,hum,rumah
209,humz,rumah
210,ilang,hilang
211,ilfil,tidak suka
212,imho,in my humble opinion
213,imoetz,imut
214,item,hitam
215,itungan,hitungan
216,iye,iya
217,ja,saja
218,jadiin,jadi
219,jaim,jaga image
220,jayus,tidak lucu
221,jdi,jadi
222,jem,jam
223,jga,juga
224,jgnkan,jangankan
225,jir,anjing
226,jln,jalan
227,jomblo,tidak punya pacar
228,jubir,juru bicara
229,jutek,galak
230,k,ke
231,kab,kabupaten
232,kabor,kabur
233,kacrut,kacau
