label,tweet
fear,apa darenya kalo ada salah satu yang pergi yang satunya harus bisa bikin dia tidak pergi kalau nanti sudah tidak sayang lagi ya tidak mau tahu harus bisa makin sayang sudah ya habis ini tidak usah main true sama dare lagi bahaya
love,hu aa juj udd sayang sekali aih saya minta juga jujud juga tidak pernah tinggalkan kita
sadness,jadi dia itu terlahir dengan wajah yang agak kurang enak dilihat begitu loh susah jelasinnya terus dia kalau ke sekolah suka pakai helm karena diledekin sama seantero sekolah tapi keluarganya tuh sayang sekali sama dia pokoknya mengharukan
fear,menurutku si karena lingkungan tempat tinggal juga yang bully si adik memang anak preman yang bapak dan kakaknya hobi mabok an dan berantem ngeri ya jadi takut nyekolahin anak di sekolah umum
anger,hai rakyat geruduglah kantor media dan pukullah wartawannya silakan itu tidak melanggar hukum kok
anger,sudah terjadikah islam ya islam tidak usah ditambahi dan dikurangi jangan sampai salah pilih guru jika ia masih menghalalkan musik rokok dan riba dan akan terlihat jelas mana
sadness,saya tadinya tidak mau baca sebelum beres skripsi wkwk padahal pas bedah buku catatan juang saya dateng sudah fix sekali ini semhas habis libur lebaran huhu pasti itu sudah waktu yang tepat
sadness,tidak bisa sayang kecuali anak s mau ke s psikologi masih bisa tapi hanya bisa bbrpa penjurusan psikologinya paling banter ambil psikologi sdm kalau kamu ambil psikologi klinis harus belajar dari s lagi psikologi klinis harus basic nya psikologi
love,buat saya saja kan eh ada mas adi makasih intensitas ya buat kamu
fear,lah masalahnya dia hatinya mirip pantat bayi sensitif bet yamana saya berani negur bangunin dia saja saya gaberani haha sementara dia seenaknya motong jam tidurku sebenarnya saya masi takut naik motor karena kemarin saja saya liat orang nyaris kecelakaan kali didepan motorku
love,perutku mulai keroncongan dan bahasa tubuhku mulai meraba raba mataku mulai gugup dan suaraku tiba tiba gagap ini adalah efek samping yang saya rasakan ketika saya melihat kamu karena melihat seorang wanita secantik dirimu membuatku jatuh cinta d
love,rp hai ele maaf ya saya tidak romantis saya cuma mau ungkapin perasaan gua kalau saya itu tertarik sama lu saya sayang sama lu saya cinta sama lu saya mau serius dengan perasaan gua sudah tidak usah panjang ele will you be mine
