label,tweet
anger,haiyaa dagangan kalian kayak im isis hati tidak laku iya bubarkanpks
happy,sesuatu yang benar akan tetap benar meski hanya sedikit yang mengamalkannya sesuatu yang salah akan tetap salah meski banyak orang yang mengamalkannya ya muqollibal qulub tsabbit qolbi alaa diinika
sadness,saya kasihan sama mama hulk ijo ini membesarkan anak yang bahkan tidak punya nyali sehingga pakai akun anonim badan besar otak kosong
sadness,jadi waktu sama saya sangat ingin pergi ke klinik kecantikan seperti erha natasha dan sebagainya tapi mama benar benar melarang dan sering marah jika saya mengeluh meminta perawatan
happy,terus jadi tiba tiba kangen dipanggil nama kecil karena sudah lama sekali tidak mendengar dipanggil dia kangen wkwk terakhir jaman sama sih ada teman teman yang sok akrab dipanggil begitu geli tapi sekarang bahkan kangen
happy,makan kerupuk jangan berisik pakai celana jangan pas tidur mata ngantuk tapi tetap asik soalnya ada di ini sahur inisahurtike harike
love,hu  sayangku kok jadi melow begini sih cinta you aa h cinta sok much beruntung sekali bisa jumpa sama kamu my sweetie
happy,tuhan memberi kita hati dan mulut untuk bersyukur bukan untuk mengeluh atau mengomel selamat siang sahabatku
sadness,saya memiliki iphone plus tiba tiba restart sendiri dan terkadang mengalami bootloop serta tidak bisa masuk ke sistem saya sudah mencoba mematikannya agak lama namun hanya kadang kadang bisa masuk ke sistem mengapa ini iya
happy,persahabatan itu tidak perlu filosofi tidak memiliki nilai dalam hidup namun itulah yang memberikan nilai untuk kelangsungan hidup bahagia friendship day
fear,tamsil islam nusantara karena kamu hanya tiang yang dipancangkan tergesa gesa kemarin sore dan pondasimu hanya dangkal dangkal saja ditanam maka engkau jadi takut setengah mati pada angin bahkan semilir yang segar pun kamu caci dan kamu kutuki
anger,bpip tidak ada pentingnya bpip hanya memberi tempat kepada tokoh bangsa tempat terhormat bpip tidak penting hidupkan pelajaran budi pekerti ppkn dan pmp cukup untuk bekal esok
love,bahagia anniversary bulan iya sayang semoga allah swt memberkahi kita rezeki yang banyak agar kita dapat segera naik ke pelaminan dan menjadi keluarga sakinah mawadah
love,menurutmu bagaimanakah seharusnya relationship goals itu sejujurnya iya seperti saling mencintai saling menyayangi saling kompromi menghargai saling membutuhkan saling memahami saling melindungi dan lainnya
